year,year_label,total_population,israelite_jewish,samaritans,imperial_settlers,christians,muslims,druze,armenians,circassians,other_unknown,israelite_jewish_label,samaritans_label,imperial_settlers_label,other_label,other_context_title,other_context_label,evidence_level,evidence_label,value_prefix,era_label,event_label,event_type,event_priority,transition,scenario_note,population_context_title,population_context_label,demographic_context_title,demographic_context_label,context_source_url,territory_scope,israelite_jewish_plausible_upper,samaritans_plausible_upper,imperial_settlers_plausible_upper,christians_plausible_upper,muslims_plausible_upper,druze_plausible_upper,armenians_plausible_upper,circassians_plausible_upper,other_unknown_plausible_upper,data_source_ids,data_source_label
-1500,1500 BCE,150000,0,0,0,0,0,0,0,0,150000,,,,Canaanites & others,,,1,"Highly uncertain — plausible range ≈75,000–250,000",≈,Late Bronze Age Canaan,Canaanite city-states under Egyptian rule,political transition,minor,gradual,"All residents are combined in one visualization category; selected value is a broad scenario within a 75,000–250,000 range.",,,WHY ONE BAR?,"Around 1500 BCE, people lived in towns, farming villages and herding communities. They are combined because later identities cannot yet be estimated separately.",https://ir.unisa.ac.za/handle/10500/13257,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,,,,,,,,,250000,S21_LBA_1500_SYNTH,Broshi & Gophna; Bunimovitz; Finkelstein; Kennedy
-1200,1200 BCE,150000,17500,0,0,0,0,0,0,0,132500,Proto-Israelites,,,Canaanites & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Bronze–Iron Age transition,Bronze Age societies collapse; highland communities emerge,settlement,minor,gradual,Total and Proto-Israelite values are selected mid-range scenarios.,,,WHY THE BAR SPLITS,"From this point, some communities can be shown separately. The split reflects clearer evidence—not a sudden replacement of the people already living here.",,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,30000,,,,,,,,,S01_BROSHI_FINK_IA,Broshi & Finkelstein — archaeological syntheses
-1000,1000 BCE,150000,65000,0,0,0,0,0,0,0,85000,"Israelites, Judahites",,,Philistines & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Early Israelite monarchy,Early Israelite state formation begins,state formation,minor,gradual,Named communities use master pop_est; Other / Unknown is the balancing residual. The coherent residual falls outside the master's independent Other / Unknown band; total and named estimates are prioritized.,,,EARLY MONARCHY,"Traditions place Saul, David and Solomon around this period. Archaeologists debate how large or centralized their kingdom was; the separate kingdoms of Israel and Judah become clearer later.",,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,90000,,,,,,,,,S01_BROSHI_FINK_IA,Broshi & Finkelstein — archaeological syntheses
-722,722 BCE,400000,240000,0,0,0,0,0,0,0,160000,"Israelites, Judahites",,,Philistines & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Assyrian Empire / Kingdom of Judah,Assyria conquers northern Israel; deportations follow,conquest,major,gradual,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,NORTHERN ISRAEL FALLS,"Assyria conquers the northern Kingdom of Israel, centred on Samaria. Judah, the southern Israelite kingdom, survives.",,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,320000,,,,,,,,,S01_BROSHI_FINK_IA,Broshi & Finkelstein — archaeological syntheses
-701,701 BCE,360000,220000,0,0,0,0,0,0,0,140000,Judahites,,,Philistines & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Assyrian Empire / Kingdom of Judah,Sennacherib invades Judah; Jerusalem survives,invasion,minor,shock,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,THE SURVIVING KINGDOM,"Assyria had destroyed the northern Kingdom of Israel in 722 BCE. Judah was the remaining Israelite kingdom; in 701 BCE its cities were devastated, but Jerusalem held out.",,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,300000,,,,,,,,,S01_BROSHI_FINK_IA,Broshi & Finkelstein — archaeological syntheses
-586,586 BCE,200000,70000,0,0,0,0,0,0,0,130000,Judahites,,,Northern & coastal,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Babylonian Empire,Babylon destroys Jerusalem and Judah; exile begins,conquest,major,shock,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,CONQUEST AND EXILE,"Judah had survived Assyria, but Babylon now destroys Jerusalem and ends the kingdom. Many Judahites are killed, displaced or deported. The other bar still combines northern and coastal peoples as older identities change.",,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,120000,,,,,,,,,S02_PERSIAN_YEHUD,Persian-period Yehud and Samaria demographic studies
-538,538 BCE,170000,35000,0,0,0,0,0,0,0,135000,Judeans,,,Northern & coastal,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Persian Empire,Persian rule begins; Judean exiles may return,political transition,major,gradual,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,,,,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,60000,,,,,,,,,S02_PERSIAN_YEHUD,Persian-period Yehud and Samaria demographic studies
-400,400 BCE,180000,35000,60000,0,0,0,0,0,0,85000,Judeans,Israelite Samaritans,,Coastal & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Persian Empire,,none,none,gradual,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,SAMARITANS,Samaritans are an Israelite community whose distinct identity developed gradually. They are shown separately from this point.,https://en.wikipedia.org/wiki/Samaritans,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,55000,90000,,,,,,,,S02_PERSIAN_YEHUD;S05_SAMARITAN_STUDIES,Yehud/Samaria and Samaritan demographic studies
-332,332 BCE,200000,55000,70000,10000,0,0,0,0,0,65000,Jews,Israelite Samaritans,Hellenistic settlers,Coastal & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Hellenistic rule,Alexander conquers the region; Greek rule begins,conquest,major,gradual,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,,,,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,80000,100000,20000,,,,,,,S03_HELLENISTIC_ROUGH;S05_SAMARITAN_STUDIES,DellaPergola; Hellenistic and Samaritan studies
-167,167 BCE,240000,90000,75000,10000,0,0,0,0,0,65000,Jews,Israelite Samaritans,Hellenistic settlers,Coastal & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Seleucid rule / Maccabean revolt,Maccabean revolt begins; Jewish independence follows,revolt,major,gradual,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,HASMONEAN KINGDOM,"By 142–141 BCE, the Hasmoneans establish a largely independent Jewish state. It later becomes a kingdom; Roman intervention ends its independence in 63 BCE.",,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,130000,110000,20000,,,,,,,S03_HELLENISTIC_ROUGH;S05_SAMARITAN_STUDIES,DellaPergola; Hellenistic and Samaritan studies
-63,63 BCE,700000,450000,90000,30000,0,0,0,0,0,130000,Jews,Israelite Samaritans,Roman settlers,Polytheists & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Roman rule,Pompey conquers Jerusalem; Roman rule begins,conquest,major,gradual,Total and Jewish values are selected mid-range scenarios.,,,POLYTHEISTS & OTHERS,"Mostly local followers of Greek, Roman and older regional religions; smaller unclassified groups are included, while Roman settlers are shown separately.",,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,600000,130000,60000,,,,,,,S03_HELLENISTIC_ROUGH;S04_BROSHI_1980;S05_SAMARITAN_STUDIES,Broshi; DellaPergola; Samaritan demographic studies
70,70 CE,550000,250000,90000,50000,0,0,0,0,0,160000,Jews,Israelite Samaritans,Roman settlers,Polytheists & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Roman rule,Rome destroys Jerusalem and the Temple after a Jewish revolt,war,major,shock,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,JEWISH POPULATION,"Deaths, enslavement and displacement sharply reduce the Jewish population, though Jewish communities remain in the region.",,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,380000,130000,80000,,,,,,,S04_BROSHI_1980;S05_SAMARITAN_STUDIES,Broshi; Samaritan demographic studies
135,135 CE,500000,120000,100000,60000,0,0,0,0,0,220000,Jews,Israelite Samaritans,Roman settlers,Polytheists & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Roman rule,Rome crushes the Jewish Bar Kokhba revolt; deaths and displacement follow,revolt,major,shock,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,THE NAME PALESTINE,"After the revolt, Emperor Hadrian’s government renames Judaea ‘Syria Palaestina,’ using an older geographic name. Many historians see this as weakening its Jewish association.",https://en.wikipedia.org/wiki/Syria_Palaestina,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,180000,150000,90000,,,,,,,S04_BROSHI_1980;S05_SAMARITAN_STUDIES,Broshi; Samaritan demographic studies
250,250 CE,700000,120000,140000,50000,80000,0,0,0,0,310000,Jews,Israelite Samaritans,Roman settlers,Polytheists & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Roman Empire,,none,none,gradual,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,,,,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,180000,210000,80000,130000,,,,,,S03_HELLENISTIC_ROUGH;S04_BROSHI_1980;S05_SAMARITAN_STUDIES,Broshi; DellaPergola; Samaritan demographic studies
324,324 CE,850000,110000,160000,40000,220000,0,0,2000,0,318000,Jews,Israelite Samaritans,Roman settlers,Polytheists & others,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Christianizing Roman Empire,Christianity gains imperial support,religious transition,major,gradual,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,RELIGIOUS CHANGE,"Christianity gains imperial support, but most residents do not convert at once. Religious change continues over centuries.",,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,170000,230000,70000,340000,,,4000,,,S04_BROSHI_1980;S05_SAMARITAN_STUDIES;S06_ARMENIAN_HISTORY,Broshi; Samaritan and Armenian demographic studies
450,450 CE,850000,100000,200000,0,470000,0,0,5000,0,75000,Jews,Israelite Samaritans,,Other / unclassified,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Byzantine Empire,Eastern Roman rule continues from Constantinople,political transition,minor,gradual,The former imperial-resident allocation is folded into Christians from this Byzantine-period anchor; the total population is unchanged.,,,CHRISTIAN MAJORITY,"After centuries of growth, Christians are now the largest community shown.",,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,150000,500000,,700000,,,8000,,,S04_BROSHI_1980;S05_SAMARITAN_STUDIES;S06_ARMENIAN_HISTORY,Broshi; Samaritan and Armenian demographic studies
529,529 CE,900000,95000,90000,0,635000,0,0,6000,0,74000,Jews,Israelite Samaritans,,Other / unclassified,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Byzantine Empire,Byzantines suppress Samaritan revolts; population falls sharply,revolt,major,shock,The former imperial-resident allocation remains folded into Christians; the total population is unchanged.,,,SAMARITAN POPULATION,The exact scale is uncertain; the Samaritan decline continues over later centuries.,,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,140000,150000,,740000,,,9000,,,S04_BROSHI_1980;S05_SAMARITAN_STUDIES;S06_ARMENIAN_HISTORY,Broshi; Samaritan and Armenian demographic studies
614,614 CE,850000,90000,70000,10000,560000,0,0,6000,0,114000,Jews,Israelite Samaritans,Persian forces,Other / unclassified,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Sasanian Persian rule,Pre-Islamic Persian forces capture Jerusalem,conquest,major,shock,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,,,,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,130000,110000,20000,680000,,,9000,,,S04_BROSHI_1980;S05_SAMARITAN_STUDIES;S06_ARMENIAN_HISTORY,Broshi; Samaritan and Armenian demographic studies
638,638 CE,820000,90000,60000,0,500000,40000,0,6000,0,124000,Jews,Israelite Samaritans,,Other / unclassified,,,1,Highly uncertain — reconstructed from archaeology and historical evidence,≈,Early Islamic rule,Arab-Muslim armies conquer the region,conquest,major,gradual,Named communities use master pop_est; Other / Unknown is the balancing residual.,,,RELIGIOUS CHANGE,Muslims are still a minority at this date. Conversion to Islam and adoption of Arabic take place gradually over centuries.,,Modern Israel excluding the Golan Heights + West Bank including East Jerusalem + Gaza Strip,130000,100000,,620000,90000,,9000,,,S03_HELLENISTIC_ROUGH;S05_SAMARITAN_STUDIES;S06_ARMENIAN_HISTORY,DellaPergola; Samaritan and Armenian demographic studies
